era,decade_label,phrase,tone_label,source,funding_million_usd,survival_rate_percent,survival_data_type,policy_milestone
2020s,2020s - Precision & Hope Era,New mRNA-based vaccines are entering trials for several cancer types.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Survival rates for many cancers are the highest ever recorded.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Early detection tools now fit in the palm of your hand.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,"She calls her diagnosis a chapter, not the whole story.",hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Researchers are optimistic about curing some cancers within a decade.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Patient-reported outcomes now shape how new treatments are designed.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,The clinic's new blood test can detect cancer years before symptoms.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Global collaboration is accelerating the pace of new discoveries.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,She's five years cancer-free and back to training for triathlons.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Doctors describe today's outlook with confidence and optimism.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,The Moonshot's precision medicine breakthroughs raised optimism nationwide.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,AI-driven precision medicine is accelerating breakthrough treatments.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,Researchers remain optimistic that mRNA breakthroughs could lead to a cure.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,The Cancer Moonshot funds AI and precision medicine breakthroughs alike.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,An optimistic new breakthrough in precision medicine reached trials.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,AI and mRNA research fuel today's most optimistic breakthroughs.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
2020s,2020s - Precision & Hope Era,The Moonshot's precision medicine push brings the cure closer each year.,hope_precision_medicine,"illustrative (representative of era's tone, not a direct quote)",7224,72.5,"actual (NCI Cancer Trends Progress Report, 2017 cohort, most recent published)","2016 - $1 billion Cancer Moonshot Initiative launched, accelerating immunotherapy and precision-medicine research"
